gene	Kinetic_class	hpi	Time	cell_line	group	seqnames	strand	norm_base	sample	read_count	mean	sd	varcoeff	libtype	sample_name	norm.method	cluster
ORF-1	E	6h	6	PC_12	PC_12_6h	LT934125.1	+	1084276.068816	PC_12_6h	0.0199926740794633	0.0199926740794633			dcDNA	PC_12_6h	viral_read.count	cluster_1
ORF-1	E	6h	6	PK_15	PK_15_6h	LT934125.1	+	1142014.096785	PK_15_6h	0.0108944171074819	0.0108944171074819			dcDNA	PK_15_6h	viral_read.count	cluster_1
ORF-1	E	8h	8	C6	C6_8h	LT934125.1	+	1246909.965009	C6_8h	0.0137387100863183	0.0137387100863183			dcDNA	C6_8h	viral_read.count	cluster_1
ORF-1	E	8h	8	PC_12	PC_12_8h	LT934125.1	+	1262149.126856	PC_12_8h	0.0125143752310357	0.0125143752310357			dcDNA	PC_12_8h	viral_read.count	cluster_1
ORF-1	E	8h	8	PK_15	PK_15_8h	LT934125.1	+	1221833.366165	PK_15_8h	0.00617367125246876	0.00617367125246876			dcDNA	PK_15_8h	viral_read.count	cluster_1
UL54	E	0.5h	0.5	PC_12	PC_12_0.5h	LT934125.1	-	1133333.333342	PC_12_0.5h	0.0294117647053633	0.0294117647053633			dcDNA	PC_12_0.5h	viral_read.count	cluster_1
UL54	E	1.5h	1.5	PC_12	PC_12_1.5h	LT934125.1	-	1184852.374789	PC_12_1.5h	0.0325027085596702	0.0325027085596702			dcDNA	PC_12_1.5h	viral_read.count	cluster_1
UL54	E	12h	12	C6	C6_12h	LT934125.1	-	1284417.877033	C6_12h	0.00613455063954825	0.00613455063954825			dcDNA	C6_12h	viral_read.count	cluster_1
UL54	E	12h	12	PC_12	PC_12_12h	LT934125.1	-	1355773.731074	PC_12_12h	0.00519619424726521	0.00519619424726521			dcDNA	PC_12_12h	viral_read.count	cluster_1
UL54	E	12h	12	PK_15	PK_15_12h	LT934125.1	-	1346113.706473	PK_15_12h	0.0030128599920629	0.0030128599920629			dcDNA	PK_15_12h	viral_read.count	cluster_1
UL54	E	1h	1	C6	C6_1h	LT934125.1	-	1208088.714958	C6_1h	0.0280777537791827	0.0280777537791827			dcDNA	C6_1h	viral_read.count	cluster_1
UL54	E	1h	1	NRK	NRK_1h	LT934125.1	-	1142105.263134	NRK_1h	0.0184331797230585	0.0184331797230585			dcDNA	NRK_1h	viral_read.count	cluster_1
UL54	E	1h	1	PC_12	PC_12_1h	LT934125.1	-	1126524.390264	PC_12_1h	0.030446549390699	0.030446549390699			dcDNA	PC_12_1h	viral_read.count	cluster_1
UL54	E	1h	1	PK_15	PK_15_1h	LT934125.1	-	764970.059873	PK_15_1h	0.0185909980429313	0.0185909980429313			dcDNA	PK_15_1h	viral_read.count	cluster_1
UL54	E	2.5h	2.5	PC_12	PC_12_2.5h	LT934125.1	-	1278208.440965	PC_12_2.5h	0.0208894878708841	0.0208894878708841			dcDNA	PC_12_2.5h	viral_read.count	cluster_1
UL54	E	2h	2	C6	C6_2h	LT934125.1	-	1258769.700049	C6_2h	0.0222132471729432	0.0222132471729432			dcDNA	C6_2h	viral_read.count	cluster_1
UL54	E	2h	2	NRK	NRK_2h	LT934125.1	-	1230392.15684	NRK_2h	0.0232403718457045	0.0232403718457045			dcDNA	NRK_2h	viral_read.count	cluster_1
UL54	E	2h	2	PC_12	PC_12_2h	LT934125.1	-	1147712.418228	PC_12_2h	0.0291571753982296	0.0291571753982296			dcDNA	PC_12_2h	viral_read.count	cluster_1
UL54	E	2h	2	PK_15	PK_15_2h	LT934125.1	-	1141351.10068	PK_15_2h	0.02541934530375	0.02541934530375			dcDNA	PK_15_2h	viral_read.count	cluster_1
UL54	E	4h	4	C6	C6_4h	LT934125.1	-	1205331.820713	C6_4h	0.0117647058829093	0.0117647058829093			dcDNA	C6_4h	viral_read.count	cluster_1
UL54	E	4h	4	PC_12	PC_12_4h	LT934125.1	-	1134040.2533	PC_12_4h	0.0121192864591943	0.0121192864591943			dcDNA	PC_12_4h	viral_read.count	cluster_1
UL54	E	4h	4	PK_15	PK_15_4h	LT934125.1	-	1178684.298121	PK_15_4h	0.0160874933849788	0.0160874933849788			dcDNA	PK_15_4h	viral_read.count	cluster_1
UL54	E	6h	6	C6	C6_6h	LT934125.1	-	1072538.860091	C6_6h	0.0173404525812911	0.0173404525812911			dcDNA	C6_6h	viral_read.count	cluster_1
UL54	E	6h	6	PC_12	PC_12_6h	LT934125.1	-	1084276.068816	PC_12_6h	0.0127967293303368	0.0127967293303368			dcDNA	PC_12_6h	viral_read.count	cluster_1
UL54	E	6h	6	PK_15	PK_15_6h	LT934125.1	-	1142014.096785	PK_15_6h	0.0113745996634974	0.0113745996634974			dcDNA	PK_15_6h	viral_read.count	cluster_1
UL54	E	8h	8	C6	C6_8h	LT934125.1	-	1246909.965009	C6_8h	0.0134060062811988	0.0134060062811988			dcDNA	C6_8h	viral_read.count	cluster_1
UL54	E	8h	8	PC_12	PC_12_8h	LT934125.1	-	1262149.126856	PC_12_8h	0.0115545172188388	0.0115545172188388			dcDNA	PC_12_8h	viral_read.count	cluster_1
UL54	E	8h	8	PK_15	PK_15_8h	LT934125.1	-	1221833.366165	PK_15_8h	0.00761501116817883	0.00761501116817883			dcDNA	PK_15_8h	viral_read.count	cluster_1
UL51	L	0.5h	0.5	PC_12	PC_12_0.5h	LT934125.1	+	1133333.333342	PC_12_0.5h	0	0			dcDNA	PC_12_0.5h	viral_read.count	cluster_2
UL51	L	1.5h	1.5	PC_12	PC_12_1.5h	LT934125.1	+	1184852.374789	PC_12_1.5h	0.00433369447389124	0.00433369447389124			dcDNA	PC_12_1.5h	viral_read.count	cluster_2
UL51	L	12h	12	C6	C6_12h	LT934125.1	+	1284417.877033	C6_12h	0.0013706057214546	0.0013706057214546			dcDNA	C6_12h	viral_read.count	cluster_2
UL51	L	12h	12	PC_12	PC_12_12h	LT934125.1	+	1355773.731074	PC_12_12h	0.00118929791457362	0.00118929791457362			dcDNA	PC_12_12h	viral_read.count	cluster_2
UL51	L	12h	12	PK_15	PK_15_12h	LT934125.1	+	1346113.706473	PK_15_12h	0.000513803302554718	0.000513803302554718			dcDNA	PK_15_12h	viral_read.count	cluster_2
UL51	L	1h	1	C6	C6_1h	LT934125.1	+	1208088.714958	C6_1h	0.00215982721442002	0.00215982721442002			dcDNA	C6_1h	viral_read.count	cluster_2
UL51	L	1h	1	NRK	NRK_1h	LT934125.1	+	1142105.263134	NRK_1h	0	0			dcDNA	NRK_1h	viral_read.count	cluster_2
UL51	L	1h	1	PC_12	PC_12_1h	LT934125.1	+	1126524.390264	PC_12_1h	0.00473612990549602	0.00473612990549602			dcDNA	PC_12_1h	viral_read.count	cluster_2
UL51	L	1h	1	PK_15	PK_15_1h	LT934125.1	+	764970.059873	PK_15_1h	0.00489236790603456	0.00489236790603456			dcDNA	PK_15_1h	viral_read.count	cluster_2
UL51	L	2.5h	2.5	PC_12	PC_12_2.5h	LT934125.1	+	1278208.440965	PC_12_2.5h	0.001684636118014	0.001684636118014			dcDNA	PC_12_2.5h	viral_read.count	cluster_2
UL51	L	2h	2	C6	C6_2h	LT934125.1	+	1258769.700049	C6_2h	0.00444264943522418	0.00444264943522418			dcDNA	C6_2h	viral_read.count	cluster_2
UL51	L	2h	2	NRK	NRK_2h	LT934125.1	+	1230392.15684	NRK_2h	0.00398406374483859	0.00398406374483859			dcDNA	NRK_2h	viral_read.count	cluster_2
UL51	L	2h	2	PC_12	PC_12_2h	LT934125.1	+	1147712.418228	PC_12_2h	0.00410022778900101	0.00410022778900101			dcDNA	PC_12_2h	viral_read.count	cluster_2
UL51	L	2h	2	PK_15	PK_15_2h	LT934125.1	+	1141351.10068	PK_15_2h	0.0016256558055576	0.0016256558055576			dcDNA	PK_15_2h	viral_read.count	cluster_2
UL51	L	4h	4	C6	C6_4h	LT934125.1	+	1205331.820713	C6_4h	0.00282352941116814	0.00282352941116814			dcDNA	C6_4h	viral_read.count	cluster_2
UL51	L	4h	4	PC_12	PC_12_4h	LT934125.1	+	1134040.2533	PC_12_4h	0.00540147973334731	0.00540147973334731			dcDNA	PC_12_4h	viral_read.count	cluster_2
UL51	L	4h	4	PK_15	PK_15_4h	LT934125.1	+	1178684.298121	PK_15_4h	0.00560945493084125	0.00560945493084125			dcDNA	PK_15_4h	viral_read.count	cluster_2
UL51	L	6h	6	C6	C6_6h	LT934125.1	+	1072538.860091	C6_6h	0.0039664378339066	0.0039664378339066			dcDNA	C6_6h	viral_read.count	cluster_2
UL51	L	6h	6	PC_12	PC_12_6h	LT934125.1	+	1084276.068816	PC_12_6h	0.00407652042327799	0.00407652042327799			dcDNA	PC_12_6h	viral_read.count	cluster_2
UL51	L	6h	6	PK_15	PK_15_6h	LT934125.1	+	1142014.096785	PK_15_6h	0.00331722445604207	0.00331722445604207			dcDNA	PK_15_6h	viral_read.count	cluster_2
UL51	L	8h	8	C6	C6_8h	LT934125.1	+	1246909.965009	C6_8h	0.00279862612853111	0.00279862612853111			dcDNA	C6_8h	viral_read.count	cluster_2
UL51	L	8h	8	PC_12	PC_12_8h	LT934125.1	+	1262149.126856	PC_12_8h	0.00217326342635338	0.00217326342635338			dcDNA	PC_12_8h	viral_read.count	cluster_2
UL51	L	8h	8	PK_15	PK_15_8h	LT934125.1	+	1221833.366165	PK_15_8h	0.00200480991011765	0.00200480991011765			dcDNA	PK_15_8h	viral_read.count	cluster_2
UL50	L	0.5h	0.5	PC_12	PC_12_0.5h	LT934125.1	-	1133333.333342	PC_12_0.5h	0	0			dcDNA	PC_12_0.5h	viral_read.count	cluster_1
UL50	L	1.5h	1.5	PC_12	PC_12_1.5h	LT934125.1	-	1184852.374789	PC_12_1.5h	0.0162513542789911	0.0162513542789911			dcDNA	PC_12_1.5h	viral_read.count	cluster_1
UL50	L	12h	12	C6	C6_12h	LT934125.1	-	1284417.877033	C6_12h	0.00315447844930292	0.00315447844930292			dcDNA	C6_12h	viral_read.count	cluster_1
UL50	L	12h	12	PC_12	PC_12_12h	LT934125.1	-	1355773.731074	PC_12_12h	0.00274376616299624	0.00274376616299624			dcDNA	PC_12_12h	viral_read.count	cluster_1
UL50	L	12h	12	PK_15	PK_15_12h	LT934125.1	-	1346113.706473	PK_15_12h	0.00170885473488501	0.00170885473488501			dcDNA	PK_15_12h	viral_read.count	cluster_1
UL50	L	1h	1	C6	C6_1h	LT934125.1	-	1208088.714958	C6_1h	0.0151187904968014	0.0151187904968014			dcDNA	C6_1h	viral_read.count	cluster_1
UL50	L	1h	1	NRK	NRK_1h	LT934125.1	-	1142105.263134	NRK_1h	0.0276497695863388	0.0276497695863388			dcDNA	NRK_1h	viral_read.count	cluster_1
UL50	L	1h	1	PC_12	PC_12_1h	LT934125.1	-	1126524.390264	PC_12_1h	0.0135317997291009	0.0135317997291009			dcDNA	PC_12_1h	viral_read.count	cluster_1
UL50	L	1h	1	PK_15	PK_15_1h	LT934125.1	-	764970.059873	PK_15_1h	0.00391389432482765	0.00391389432482765			dcDNA	PK_15_1h	viral_read.count	cluster_1
UL50	L	2.5h	2.5	PC_12	PC_12_2.5h	LT934125.1	-	1278208.440965	PC_12_2.5h	0.00977088948854938	0.00977088948854938			dcDNA	PC_12_2.5h	viral_read.count	cluster_1
UL50	L	2h	2	C6	C6_2h	LT934125.1	-	1258769.700049	C6_2h	0.0153473344109315	0.0153473344109315			dcDNA	C6_2h	viral_read.count	cluster_1
UL50	L	2h	2	NRK	NRK_2h	LT934125.1	-	1230392.15684	NRK_2h	0.0265604249672161	0.0265604249672161			dcDNA	NRK_2h	viral_read.count	cluster_1
UL50	L	2h	2	PC_12	PC_12_2h	LT934125.1	-	1147712.418228	PC_12_2h	0.0136674259665315	0.0136674259665315			dcDNA	PC_12_2h	viral_read.count	cluster_1
UL50	L	2h	2	PK_15	PK_15_2h	LT934125.1	-	1141351.10068	PK_15_2h	0.0138919677823533	0.0138919677823533			dcDNA	PK_15_2h	viral_read.count	cluster_1
UL50	L	4h	4	C6	C6_4h	LT934125.1	-	1205331.820713	C6_4h	0.00988235294074779	0.00988235294074779			dcDNA	C6_4h	viral_read.count	cluster_1
UL50	L	4h	4	PC_12	PC_12_4h	LT934125.1	-	1134040.2533	PC_12_4h	0.010621397121442	0.010621397121442			dcDNA	PC_12_4h	viral_read.count	cluster_1
UL50	L	4h	4	PK_15	PK_15_4h	LT934125.1	-	1178684.298121	PK_15_4h	0.0116422649490418	0.0116422649490418			dcDNA	PK_15_4h	viral_read.count	cluster_1
UL50	L	6h	6	C6	C6_6h	LT934125.1	-	1072538.860091	C6_6h	0.0108314263914077	0.0108314263914077			dcDNA	C6_6h	viral_read.count	cluster_1
UL50	L	6h	6	PC_12	PC_12_6h	LT934125.1	-	1084276.068816	PC_12_6h	0.0071132327400918	0.0071132327400918			dcDNA	PC_12_6h	viral_read.count	cluster_1
UL50	L	6h	6	PK_15	PK_15_6h	LT934125.1	-	1142014.096785	PK_15_6h	0.00620272514581191	0.00620272514581191			dcDNA	PK_15_6h	viral_read.count	cluster_1
UL50	L	8h	8	C6	C6_8h	LT934125.1	-	1246909.965009	C6_8h	0.00728034209986803	0.00728034209986803			dcDNA	C6_8h	viral_read.count	cluster_1
UL50	L	8h	8	PC_12	PC_12_8h	LT934125.1	-	1262149.126856	PC_12_8h	0.00434652685508366	0.00434652685508366			dcDNA	PC_12_8h	viral_read.count	cluster_1
UL50	L	8h	8	PK_15	PK_15_8h	LT934125.1	-	1221833.366165	PK_15_8h	0.00326649272684949	0.00326649272684949			dcDNA	PK_15_8h	viral_read.count	cluster_1
UL49.5	L	0.5h	0.5	PC_12	PC_12_0.5h	LT934125.1	+	1133333.333342	PC_12_0.5h	0.0294117647062457	0.0294117647062457			dcDNA	PC_12_0.5h	viral_read.count	cluster_3
UL49.5	L	1.5h	1.5	PC_12	PC_12_1.5h	LT934125.1	+	1184852.374789	PC_12_1.5h	0.0205850487545703	0.0205850487545703			dcDNA	PC_12_1.5h	viral_read.count	cluster_3
UL49.5	L	12h	12	C6	C6_12h	LT934125.1	+	1284417.877033	C6_12h	0.0317779580811233	0.0317779580811233			dcDNA	C6_12h	viral_read.count	cluster_3
UL49.5	L	12h	12	PC_12	PC_12_12h	LT934125.1	+	1355773.731074	PC_12_12h	0.0337134031486152	0.0337134031486152			dcDNA	PC_12_12h	viral_read.count	cluster_3
UL49.5	L	12h	12	PK_15	PK_15_12h	LT934125.1	+	1346113.706473	PK_15_12h	0.0419770417077566	0.0419770417077566			dcDNA	PK_15_12h	viral_read.count	cluster_3
UL49.5	L	1h	1	C6	C6_1h	LT934125.1	+	1208088.714958	C6_1h	0.0296976241899978	0.0296976241899978			dcDNA	C6_1h	viral_read.count	cluster_3
UL49.5	L	1h	1	NRK	NRK_1h	LT934125.1	+	1142105.263134	NRK_1h	0.018433179723934	0.018433179723934			dcDNA	NRK_1h	viral_read.count	cluster_3
UL49.5	L	1h	1	PC_12	PC_12_1h	LT934125.1	+	1126524.390264	PC_12_1h	0.0209742895805947	0.0209742895805947			dcDNA	PC_12_1h	viral_read.count	cluster_3
UL49.5	L	1h	1	PK_15	PK_15_1h	LT934125.1	+	764970.059873	PK_15_1h	0.0195694716241382	0.0195694716241382			dcDNA	PK_15_1h	viral_read.count	cluster_3
UL49.5	L	2.5h	2.5	PC_12	PC_12_2.5h	LT934125.1	+	1278208.440965	PC_12_2.5h	0.0283018867921798	0.0283018867921798			dcDNA	PC_12_2.5h	viral_read.count	cluster_3
UL49.5	L	2h	2	C6	C6_2h	LT934125.1	+	1258769.700049	C6_2h	0.0327140549271221	0.0327140549271221			dcDNA	C6_2h	viral_read.count	cluster_3
UL49.5	L	2h	2	NRK	NRK_2h	LT934125.1	+	1230392.15684	NRK_2h	0	0			dcDNA	NRK_2h	viral_read.count	cluster_3
UL49.5	L	2h	2	PC_12	PC_12_2h	LT934125.1	+	1147712.418228	PC_12_2h	0	0			dcDNA	PC_12_2h	viral_read.count	cluster_3
UL49.5	L	2h	2	PK_15	PK_15_2h	LT934125.1	+	1141351.10068	PK_15_2h	0.0376117638353562	0.0376117638353562			dcDNA	PK_15_2h	viral_read.count	cluster_3
UL49.5	L	4h	4	C6	C6_4h	LT934125.1	+	1205331.820713	C6_4h	0.0228235294109524	0.0228235294109524			dcDNA	C6_4h	viral_read.count	cluster_3
UL49.5	L	4h	4	PC_12	PC_12_4h	LT934125.1	+	1134040.2533	PC_12_4h	0	0			dcDNA	PC_12_4h	viral_read.count	cluster_3
UL49.5	L	4h	4	PK_15	PK_15_4h	LT934125.1	+	1178684.298121	PK_15_4h	0.0345387193516519	0.0345387193516519			dcDNA	PK_15_4h	viral_read.count	cluster_3
UL49.5	L	6h	6	C6	C6_6h	LT934125.1	+	1072538.860091	C6_6h	0.0299008390542409	0.0299008390542409			dcDNA	C6_6h	viral_read.count	cluster_3
UL49.5	L	6h	6	PC_12	PC_12_6h	LT934125.1	+	1084276.068816	PC_12_6h	0.0322340513501927	0.0322340513501927			dcDNA	PC_12_6h	viral_read.count	cluster_3
UL49.5	L	6h	6	PK_15	PK_15_6h	LT934125.1	+	1142014.096785	PK_15_6h	0.0299034788993758	0.0299034788993758			dcDNA	PK_15_6h	viral_read.count	cluster_3
UL49.5	L	8h	8	C6	C6_8h	LT934125.1	+	1246909.965009	C6_8h	0.0286418834937631	0.0286418834937631			dcDNA	C6_8h	viral_read.count	cluster_3
UL49.5	L	8h	8	PC_12	PC_12_8h	LT934125.1	+	1262149.126856	PC_12_8h	0.0308784511867325	0.0308784511867325			dcDNA	PC_12_8h	viral_read.count	cluster_3
UL49.5	L	8h	8	PK_15	PK_15_8h	LT934125.1	+	1221833.366165	PK_15_8h	0.031768683317131	0.031768683317131			dcDNA	PK_15_8h	viral_read.count	cluster_3
UL49	L	0.5h	0.5	PC_12	PC_12_0.5h	LT934125.1	+	1133333.333342	PC_12_0.5h	0.0294117647062457	0.0294117647062457			dcDNA	PC_12_0.5h	viral_read.count	cluster_3
UL49	L	1.5h	1.5	PC_12	PC_12_1.5h	LT934125.1	+	1184852.374789	PC_12_1.5h	0.0205850487545703	0.0205850487545703			dcDNA	PC_12_1.5h	viral_read.count	cluster_3
UL49	L	12h	12	C6	C6_12h	LT934125.1	+	1284417.877033	C6_12h	0.0317779580811233	0.0317779580811233			dcDNA	C6_12h	viral_read.count	cluster_3
UL49	L	12h	12	PC_12	PC_12_12h	LT934125.1	+	1355773.731074	PC_12_12h	0.0337134031486152	0.0337134031486152			dcDNA	PC_12_12h	viral_read.count	cluster_3
UL49	L	12h	12	PK_15	PK_15_12h	LT934125.1	+	1346113.706473	PK_15_12h	0.0419770417077566	0.0419770417077566			dcDNA	PK_15_12h	viral_read.count	cluster_3
UL49	L	1h	1	C6	C6_1h	LT934125.1	+	1208088.714958	C6_1h	0.0296976241899978	0.0296976241899978			dcDNA	C6_1h	viral_read.count	cluster_3
UL49	L	1h	1	NRK	NRK_1h	LT934125.1	+	1142105.263134	NRK_1h	0.018433179723934	0.018433179723934			dcDNA	NRK_1h	viral_read.count	cluster_3
UL49	L	1h	1	PC_12	PC_12_1h	LT934125.1	+	1126524.390264	PC_12_1h	0.0209742895805947	0.0209742895805947			dcDNA	PC_12_1h	viral_read.count	cluster_3
UL49	L	1h	1	PK_15	PK_15_1h	LT934125.1	+	764970.059873	PK_15_1h	0.0195694716241382	0.0195694716241382			dcDNA	PK_15_1h	viral_read.count	cluster_3
UL49	L	2.5h	2.5	PC_12	PC_12_2.5h	LT934125.1	+	1278208.440965	PC_12_2.5h	0.0283018867921798	0.0283018867921798			dcDNA	PC_12_2.5h	viral_read.count	cluster_3
UL49	L	2h	2	C6	C6_2h	LT934125.1	+	1258769.700049	C6_2h	0.0327140549271221	0.0327140549271221			dcDNA	C6_2h	viral_read.count	cluster_3
UL49	L	2h	2	NRK	NRK_2h	LT934125.1	+	1230392.15684	NRK_2h	0.0179282868525864	0.0179282868525864			dcDNA	NRK_2h	viral_read.count	cluster_3
UL49	L	2h	2	PC_12	PC_12_2h	LT934125.1	+	1147712.418228	PC_12_2h	0.0223234624127856	0.0223234624127856			dcDNA	PC_12_2h	viral_read.count	cluster_3
UL49	L	2h	2	PK_15	PK_15_2h	LT934125.1	+	1141351.10068	PK_15_2h	0.0376117638353562	0.0376117638353562			dcDNA	PK_15_2h	viral_read.count	cluster_3
UL49	L	4h	4	C6	C6_4h	LT934125.1	+	1205331.820713	C6_4h	0.0228235294109524	0.0228235294109524			dcDNA	C6_4h	viral_read.count	cluster_3
UL49	L	4h	4	PC_12	PC_12_4h	LT934125.1	+	1134040.2533	PC_12_4h	0.0307748173025103	0.0307748173025103			dcDNA	PC_12_4h	viral_read.count	cluster_3
UL49	L	4h	4	PK_15	PK_15_4h	LT934125.1	+	1178684.298121	PK_15_4h	0.0345387193516519	0.0345387193516519			dcDNA	PK_15_4h	viral_read.count	cluster_3
UL49	L	6h	6	C6	C6_6h	LT934125.1	+	1072538.860091	C6_6h	0.0299008390542409	0.0299008390542409			dcDNA	C6_6h	viral_read.count	cluster_3
UL49	L	6h	6	PC_12	PC_12_6h	LT934125.1	+	1084276.068816	PC_12_6h	0.0322340513501927	0.0322340513501927			dcDNA	PC_12_6h	viral_read.count	cluster_3
UL49	L	6h	6	PK_15	PK_15_6h	LT934125.1	+	1142014.096785	PK_15_6h	0.0299034788993758	0.0299034788993758			dcDNA	PK_15_6h	viral_read.count	cluster_3
UL49	L	8h	8	C6	C6_8h	LT934125.1	+	1246909.965009	C6_8h	0.0286418834937631	0.0286418834937631			dcDNA	C6_8h	viral_read.count	cluster_3
UL49	L	8h	8	PC_12	PC_12_8h	LT934125.1	+	1262149.126856	PC_12_8h	0.0308784511867325	0.0308784511867325			dcDNA	PC_12_8h	viral_read.count	cluster_3
UL49	L	8h	8	PK_15	PK_15_8h	LT934125.1	+	1221833.366165	PK_15_8h	0.031768683317131	0.031768683317131			dcDNA	PK_15_8h	viral_read.count	cluster_3
UL48	L	0.5h	0.5	PC_12	PC_12_0.5h	LT934125.1	+	1133333.333342	PC_12_0.5h	0	0			dcDNA	PC_12_0.5h	viral_read.count	cluster_4
UL48	L	1.5h	1.5	PC_12	PC_12_1.5h	LT934125.1	+	1184852.374789	PC_12_1.5h	0	0			dcDNA	PC_12_1.5h	viral_read.count	cluster_4
UL48	L	12h	12	C6	C6_12h	LT934125.1	+	1284417.877033	C6_12h	0	0			dcDNA	C6_12h	viral_read.count	cluster_4
UL48	L	12h	12	PC_12	PC_12_12h	LT934125.1	+	1355773.731074	PC_12_12h	0	0			dcDNA	PC_12_12h	viral_read.count	cluster_4
UL48	L	12h	12	PK_15	PK_15_12h	LT934125.1	+	1346113.706473	PK_15_12h	0	0			dcDNA	PK_15_12h	viral_read.count	cluster_4
UL48	L	1h	1	C6	C6_1h	LT934125.1	+	1208088.714958	C6_1h	0	0			dcDNA	C6_1h	viral_read.count	cluster_4
UL48	L	1h	1	NRK	NRK_1h	LT934125.1	+	1142105.263134	NRK_1h	0	0			dcDNA	NRK_1h	viral_read.count	cluster_4
UL48	L	1h	1	PC_12	PC_12_1h	LT934125.1	+	1126524.390264	PC_12_1h	0	0			dcDNA	PC_12_1h	viral_read.count	cluster_4
UL48	L	1h	1	PK_15	PK_15_1h	LT934125.1	+	764970.059873	PK_15_1h	0	0			dcDNA	PK_15_1h	viral_read.count	cluster_4
UL48	L	2.5h	2.5	PC_12	PC_12_2.5h	LT934125.1	+	1278208.440965	PC_12_2.5h	0	0			dcDNA	PC_12_2.5h	viral_read.count	cluster_4
UL48	L	2h	2	C6	C6_2h	LT934125.1	+	1258769.700049	C6_2h	0	0			dcDNA	C6_2h	viral_read.count	cluster_4
UL48	L	2h	2	NRK	NRK_2h	LT934125.1	+	1230392.15684	NRK_2h	0	0			dcDNA	NRK_2h	viral_read.count	cluster_4
UL48	L	2h	2	PC_12	PC_12_2h	LT934125.1	+	1147712.418228	PC_12_2h	0	0			dcDNA	PC_12_2h	viral_read.count	cluster_4
UL48	L	2h	2	PK_15	PK_15_2h	LT934125.1	+	1141351.10068	PK_15_2h	7.38934460655906e-05	7.38934460655906e-05			dcDNA	PK_15_2h	viral_read.count	cluster_4
