gene	Kinetic_class	cluster	C6_12h	C6_1h	C6_2h	C6_4h	C6_6h	C6_8h	NRK_12h	NRK_1h	NRK_2h	NRK_4h	NRK_6h	NRK_8h	PC_12_0.5h	PC_12_1.5h	PC_12_12h	PC_12_1h	PC_12_2.5h	PC_12_2h	PC_12_4h	PC_12_6h	PC_12_8h	PK_15_12h	PK_15_1h	PK_15_2h	PK_15_4h	PK_15_6h	PK_15_8h
UL36	L	cluster_7	12464.237452	28049.575995	9150.991358	7941.009642	9435.505863	11139.988042	8045.309819	23684.210527	17156.862745	3636.914685	5680.939866	8936.857662	50000.000001	20539.152759	15723.789402	50304.878049	15503.875969	19084.967319	9986.101818	14118.611713	13349.181678	10147.621415	29940.11976	24879.81783	5052.395211	8482.20799	8383.825029
UL37	L	cluster_8	8295.693886	3261.578604	3050.330452	2836.074871	4908.644668	5344.265896	5027.785128	0	4901.960784	1363.843008	2975.730407	4124.703537	0	2567.394095	7342.457748	2286.585366	2153.316106	1830.065359	5507.798425	6264.973799	7440.340129	4912.480046	748.502994	2024.120773	3118.762475	4794.510212	4502.470746
UL38	E	cluster_8	8899.548328	11089.367255	8642.602948	10209.86954	14616.853014	11335.212368	10879.307549	5263.157895	8169.93464	7576.905591	6531.148555	8524.38731	0	5134.78819	11819.896059	6859.756098	5598.621877	5490.196077	16523.395275	15989.135587	11623.388498	21291.015812	1497.005988	9445.896938	17236.360613	22372.703993	16208.894687
UL39	E	cluster_1	40309.718893	82191.780822	78291.814946	60408.394781	48759.203708	59860.658639	36905.991514	39473.68421	92320.261437	63191.392637	32733.034472	40679.888633	33333.333333	75738.125802	40123.799139	64024.390245	67614.125753	67450.980392	46224.326968	0	55911.127367	14928.875563	29191.616766	56675.381632	58591.151032	0	31784.200691
UL40	E	cluster_1	40309.718893	82191.780822	78291.814946	60408.394781	48759.203708	59860.658639	36905.991514	39473.68421	92320.261437	63191.392637	32733.034472	40679.888633	33333.333333	75738.125802	40123.799139	64024.390245	67614.125753	67450.980392	46224.326968	38704.47004	55911.127367	14928.875563	29191.616766	56675.381632	58591.151032	35050.73729	31784.200691
UL41	L	cluster_8	38.958352	652.315721	1016.776818	0	218.161985	170.821285	239.011857	0	1633.986928	757.69056	425.104343	326.539028	0	0	100.09983	0	0	0	308.84851	294.67157	274.298255	112.699888	0	84.338366	62.37525	166.021865	202.049934
UL42	L	cluster_8	9566.710091	9132.420091	12201.32181	15031.196823	11508.044721	9407.372161	12518.245993	18421.052631	22875.816993	9243.824824	7999.690832	12872.512287	33333.333334	19255.455711	8365.099248	4573.170732	18518.518517	12549.019605	13898.182944	11030.966137	10629.05733	13557.950897	5239.520958	7759.129632	15302.727878	13397.461373	13053.423497
UL43	L	cluster_1	6705.706182	15003.261579	21860.701574	9359.047078	13526.043089	10090.657297	10418.356111	52631.578946	36764.705882	9546.901046	7033.544596	12236.620493	0	33376.123231	7112.498681	17530.487806	24547.803617	23529.411762	15185.051732	12747.748326	11314.802961	6024.040586	4491.017964	24795.479464	18130.405855	11198.929411	11988.29607
UL44	L	cluster_5	22532.536311	1956.947163	9150.991358	17016.449234	18652.849741	13860.927073	31109.953989	2631.578947	1633.986928	11062.282165	10473.025197	19506.410478	0	3851.091142	31066.11729	1524.390244	4737.295434	6274.509802	13331.960673	17654.670543	24252.53726	57070.914476	748.502994	15180.905794	7089.986693	14881.596226	25750.141559
UL26.5	L	cluster_3	98438.013612	70450.097848	82867.310625	68349.404422	64139.623671	61995.924695	92207.359857	18421.052631	44117.647059	56675.253827	53138.042973	68934.107859	50000	34659.82028	68360.067201	36585.365854	46080.964684	53856.209147	58475.317857	63008.468606	59739.873823	82077.93892	17964.071856	59374.209328	51709.081837	59586.756487	61380.774325
UL26	L	cluster_3	98438.013612	70450.097848	82867.310625	68349.404422	64139.623671	61995.924695	92207.359857	18421.052631	44117.647059	56675.253827	53138.042973	68934.107859	50000	34659.82028	68360.067201	36585.365854	46080.964684	53856.209147	58475.317857	63008.468606	59739.873823	82077.93892	17964.071856	59374.209328	51709.081837	59586.756487	61380.774325
UL25	L	cluster_3	0	0	0	0	54.540496	85.410642	42.680689	0	0	0	0	34.372529	0	0	121.743036	0	0	0	0	38.435422	0	114.243722	0	84.338366	124.750499	55.340622	64.855534
UL24	L		0	0	0	0	0	0	0	0	0	0	38.645849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UL23	L	cluster_1	4952.580381	43705.153293	57447.890189	14463.981849	18434.687755	11445.026051	11400.01195	42105.263157	31862.745098	15153.811184	0	13422.472758	0	51347.881898	5356.693567	38109.756098	37467.700258	28496.732023	15082.102229	13618.951226	10686.2028	2584.378252	5988.023952	15686.935989	19585.828343	11203.960377	7902.397408
UL22	L	cluster_8	9435.225654	5870.841488	11184.544993	10777.084513	7853.831468	8321.436851	8314.198157	0	7352.941176	15911.501745	10627.608594	9916.474753	0	7702.182284	10875.711182	12957.317073	6890.611541	9934.640521	10964.122098	9147.630457	11829.112189	4713.325448	748.502994	5060.301932	5738.522955	5951.632296	6570.364514
CTO-S	L	cluster_5	2705.170504	1956.947163	3050.330453	7941.009641	11398.96373	8821.699185	12010.3458	7894.736842	13071.895424	4697.681467	11748.338228	5258.997007	33333.333334	21822.849807	16099.840108	3048.780488	52540.913005	1568.62745	13074.586917	12901.490013	10903.355583	23787.395523	0	13241.12339	10458.250168	18292.590898	11935.912754
CTO-M	L	cluster_5	2705.170504	1956.947163	3050.330453	7941.009641	11398.96373	8821.699185	12010.3458	7894.736842	13071.895424	4697.681467	11748.338228	5258.997007	33333.333334	21822.849807	16099.840108	3048.780488	52540.913005	1568.62745	13074.586917	12901.490013	10903.355583	23787.395523	0	13241.12339	10458.250168	18292.590898	11935.912754
CTO-L	unknown	cluster_5	2705.170504	1956.947163	3050.330453	7941.009641	11398.96373	8821.699185	12010.3458	7894.736842	13071.895424	4697.681467	11748.338228	5258.997007	33333.333334	21822.849807	16099.840108	3048.780488	52540.913005	1568.62745	13074.586917	12901.490013	10903.355583	23787.395523	0	13241.12339	10458.250168	18292.590898	11935.912754
UL21	L	cluster_9	0	3261.578605	0	0	0	0	0	0	0	0	0	0	33333.333334	0	0	0	0	3921.568626	0	0	0	0	1497.005988	0	0	0	0
UL20	L	cluster_10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84.338366	0	0	0
UL19	L	cluster_5	11458.625013	6523.157209	6609.049314	5388.542257	5781.292609	6759.642252	15689.421164	5263.157894	6535.947712	6970.753145	5912.814964	12769.394697	0	5134.788189	13840.83045	6097.560976	4737.295435	8627.45098	8647.758275	10480.058421	13234.890737	26499.912002	748.502994	12060.38627	12391.882903	14509.304772	20334.704445
UL18	L	cluster_5	27139.361328	13046.314417	25927.808846	20136.131593	21434.415053	18680.527594	24537.127931	10526.315789	6535.947712	15002.273075	13680.630698	14522.393701	0	10269.576379	22803.823271	9146.341464	18087.855296	10196.07843	20075.153139	21216.35299	16252.171528	21510.240253	748.502994	7421.776169	11851.297407	14886.62719	13634.628864
UL15	L	cluster_8	2951.095097	0	2541.942043	3403.289846	0	3294.410483	3482.744197	2631.578947	816.993464	1666.919232	2009.58417	3368.507888	0	3851.091142	3002.994879	762.195122	2583.979328	1568.627451	2110.464817	3446.37618	3588.735486	1494.43139	0	0	2162.341985	2203.56293	2516.89362
UL16	L	cluster_8	182.617271	0	0	283.607487	163.621489	256.231926	268.88834	0	816.993464	0	425.104342	189.048911	0	1283.697047	270.540079	0	0	0	617.697021	217.800725	274.298254	356.625672	0	84.338366	291.084497	296.82697	236.972144
UL12	L	cluster_8	36786.423012	40443.574691	56939.50178	36301.758365	50449.959094	51551.423308	42339.243185	55263.157893	51470.588234	41824.518869	39380.120575	38720.654453	66666.666667	42362.002565	34323.419844	45731.707318	43927.648579	44967.320262	36289.699902	36423.968329	39476.090336	30439.776577	17215.568862	23614.742347	43309.214903	35664.515091	35341.277305
UL11	L	cluster_8	36786.423012	40443.574691	56939.50178	36301.758365	50449.959094	51551.423308	42339.243185	55263.157893	51470.588234	41824.518869	39380.120575	38720.654453	66666.666667	42362.002565	34323.419844	45731.707318	43927.648579	44967.320262	36289.699902	36423.968329	39476.090336	30439.776577	17215.568862	23614.742347	43309.214903	35664.515091	35341.277305
UL10	L	cluster_5	40419.289253	9784.735813	16776.817489	22972.206466	33760.56722	32517.051626	31541.028945	0	4901.960784	12880.739506	15612.923172	18853.332416	16666.666667	10269.576379	39287.830296	3048.780488	8182.601205	10457.516339	14515.879961	22843.452526	29624.211394	68495.286676	2994.011976	19313.485705	18317.531604	26432.693227	36753.132396
UL8	E	cluster_1	4614.129706	10437.051534	10676.156585	5104.934769	3545.132261	6320.387521	4140.026803	7894.736842	11437.908497	6667.676921	4289.689287	6066.751451	0	5134.78819	4225.836036	9146.341464	8613.264426	9150.326796	4787.151902	4753.180532	6217.427084	1039.000336	2994.011976	11976.047905	6798.902197	3516.644949	3015.782344
UL7	E	cluster_2	1068.919757	0	1016.776818	850.822461	1363.512409	1061.532267	1331.637486	0	5718.954248	1969.995454	1429.896427	1134.293471	0	0	890.076859	1524.390244	5598.621878	522.875817	823.596028	807.143863	902.898421	356.625673	0	253.015098	790.086494	543.344284	491.405396
UL6	L	cluster_2	1068.919757	0	1016.776818	850.822461	1363.512409	1061.532267	1331.637486	0	5718.954248	1969.995454	1429.896427	1134.293471	0	0	890.076859	1524.390244	5598.621878	522.875817	823.596028	807.143863	902.898421	356.625673	0	253.015098	790.086494	543.344284	491.405396
UL5	E	cluster_9	0	0	9150.991357	0	0	0	0	0	5718.954248	0	0	0	0	0	0	0	6890.61154	0	0	0	0	0	748.502994	0	0	0	0
UL4	L	cluster_11	4251.330063	7175.472929	9150.991357	8224.617129	7690.20998	6369.1936	6978.292601	5263.157895	5718.954248	7273.829368	5178.543823	6857.319631	0	5134.788189	3995.876969	6859.756098	6890.61154	5228.758168	6176.970197	5765.313313	5417.39051	1759.970852	748.502994	2277.135871	3867.26547	2983.362597	2693.999117
UL3.5	L	cluster_5	39119.054286	8480.10437	12709.710218	22404.991489	26561.221706	34017.838625	35706.664161	7894.736842	13888.888888	26670.707685	31187.200494	35833.361975	16666.666667	17971.758664	45117.969001	16768.292683	18087.855297	16993.464051	27436.042623	34809.680601	32561.488527	42903.149112	5239.520958	14927.8907	24555.056554	27177.276134	29546.68476
UL3	L	cluster_5	39119.054286	8480.10437	12709.710218	22404.991489	26561.221706	34017.838625	35706.664161	7894.736842	13888.888888	26670.707685	31187.200494	35833.361975	16666.666667	17971.758664	45117.969001	16768.292683	18087.855297	16993.464051	27436.042623	34809.680601	32561.488527	42903.149112	5239.520958	14927.8907	24555.056554	27177.276134	29546.68476
UL2	E	cluster_2	172.877684	652.315721	0	567.214974	109.080992	61.007602	0	0	0	0	0	0	0	0	229.959068	0	0	261.437908	1183.919291	781.52025	148.578221	455.431054	0	84.338366	810.878245	749.613873	339.244334
EP0	E	cluster_7	9849.158135	89367.253751	59989.832231	20419.73908	22579.765476	21852.922873	18109.416213	189473.68421	142973.856209	56069.101379	30105.116708	32344.550233	116666.666667	103979.460846	6774.323582	99085.365854	66322.13609	67189.542482	20641.375408	16783.467644	16069.306026	1401.801344	52395.209581	103989.20469	44057.717898	20350.255825	12115.512694
ELIE	E	cluster_12	58.437527	0	0	0	54.540496	97.612163	0	0	0	0	0	85.931323	0	0	0	0	861.326443	0	154.424255	0	0	0	0	0	0	15.092897	0
IE180	IE	cluster_9	8480.746053	11089.367254	3050.330453	3686.897334	3817.834742	8040.801885	6346.618411	39473.684209	5718.954248	7122.291258	9622.816507	9916.474752	66666.666668	8985.879332	7959.289129	23628.048781	6029.285099	6535.947711	9677.253309	9916.338898	9246.136967	2164.455382	310628.742514	25976.216582	11144.377911	9765.104216	8690.641594
NOIR	E		0	0	0	5955.757232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
US1	E	cluster_11	49968.955065	52837.573386	53889.171327	82813.386274	0	65448.954941	43171.516616	23684.210526	44117.647058	79254.432491	0	71529.233835	16666.666667	39794.608471	34125.925585	55640.243903	52540.913006	64052.287581	80609.461062	70631.493985	41510.469051	21328.067832	15718.562874	45880.070845	74829.507654	77713.32552	52645.232744
AZURE	E	cluster_11	0	652.315721	508.388409	0	763.566949	0	465.219506	0	0	1363.843008	850.208686	532.774207	0	0	243.486071	0	430.663221	0	0	0	0	111.156054	0	421.691828	395.043247	664.08746	374.166545
US3	L		0	0	0	0	54.540496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
US4	L	cluster_8	69297.166999	75016.307894	68124.046771	87634.713556	0	68682.357822	69014.67362	68421.05263	72712.4183	77284.437036	81620.034008	80689.512941	1e+05	75738.125802	72031.296077	72408.536586	85701.98105	96993.464051	75873.78391	76179.006572	86221.084392	71808.354611	30688.622754	44277.641901	57697.10579	67440.093778	98802.417614
US6	L		0	0	0	283.607487	54.540496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
US7	L	cluster_8	15839.004615	15003.261578	11184.544992	15598.411798	20889.010091	16606.269141	19389.836875	7894.736842	8169.93464	17123.806638	21641.675684	24696.662427	0	14120.667522	16559.758246	10670.731708	13781.223083	15424.836599	20229.577391	23419.983857	17635.091891	19551.114802	5239.520958	9445.89694	20001.663341	20611.866035	22417.564874
US8	L	cluster_11	10260.655718	15655.577301	10167.768174	12478.729438	0	11652.451896	13397.468182	13157.894736	24509.803921	11062.282166	0	0	0	11553.273425	13237.526072	16768.292683	14642.549526	22483.66013	10346.42508	0	0	0	5988.023952	15012.229063	13410.678645	14836.317537	20920.898698
US9	L	cluster_11	10260.655718	15655.577301	10167.768174	12478.729438	0	11652.451896	13397.468182	13157.894736	24509.803921	11062.282166	0	0	0	11553.273425	13237.526072	16768.292683	14642.549526	22483.66013	10346.42508	11594.685663	0	0	5988.023952	15012.229063	13410.678645	14836.317537	20920.898698
US2	L	cluster_3	53645.649449	52185.257665	52872.394509	54169.030061	53722.388872	53955.12281	60542.556914	68421.052631	38398.69281	75162.903472	95223.37301	79795.827174	83333.333333	52631.578946	43183.607434	53353.658538	49095.607234	51764.705881	37473.61919	41612.75031	40847.581604	31492.67142	17215.568862	43940.288438	35824.184964	28299.181461	26865.157862
NOIR_2	E	cluster_2	0	0	0	5672.149745	5344.968638	6393.596642	9547.670061	0	0	6516.13881	7767.815733	8713.436222	0	0	8443.555869	4573.170732	0	0	10912.647347	9736.973594	7737.496574	8219.372648	0	5650.670493	12911.676649	14982.215538	11055.374154
